ds,yhat,yhat_lower,yhat_upper
2010-02-05,47751019.09913541,43417677.97606194,52266970.58056394
2010-02-12,48470720.39831036,43967819.91223789,52751223.39363982
2010-02-19,47092828.42568951,42803904.806423105,51814594.41306858
2010-02-26,45876770.795999706,41227987.34632774,50322331.366003186
2010-03-05,45602657.503995806,41328820.300749764,49911349.926507235
2010-03-12,45550132.57685071,41237365.50090402,49956264.5534742
2010-03-19,45204622.55284588,40653356.89571715,49243313.8865957
2010-03-26,45086350.866586715,40538813.000730135,49413437.09167946
2010-04-02,45768877.490951575,41305238.00104112,50161547.85918551
2010-04-09,46734639.88393301,42291580.41308402,51244602.30686473
2010-04-16,46818178.70769404,42076724.19019778,51479702.14594398
2010-04-23,45711887.2865322,41284905.88537136,50287661.58271938
2010-04-30,44510749.70468776,40088148.7315139,48770078.08343881
2010-05-07,44507934.01631838,40126654.47083986,48980918.6250374
2010-05-14,45725535.090500645,41326995.19959891,50210284.05555226
2010-05-21,46990377.20946152,42424900.574184746,51278730.0070695
2010-05-28,47378914.015390605,42773483.869336255,51677448.286671214
2010-06-04,47176981.36870045,42449042.11435524,51540154.97666941
2010-06-11,47244213.89311511,42598482.041595384,52145602.81533532
2010-06-18,47759106.06944442,43317066.7965146,52357901.32668979
2010-06-25,48011762.81262007,43202080.29032,52613649.82333854
2010-07-02,47417577.60367028,42872756.85000816,52036999.55562596
2010-07-09,46323599.17365168,42020352.00726823,50596818.81611563
2010-07-16,45564150.6970247,41327849.75337912,50258068.63154583
2010-07-23,45457211.81456256,40768025.214760214,49837074.06845021
2010-07-30,45619234.590381876,41270206.06512982,50024581.17685913
2010-08-06,45735326.00433317,41368618.71130098,50413486.22397836
2010-08-13,46047390.901949905,41695365.02984867,50479139.16326664
2010-08-20,46772723.897077166,42214838.357619025,51506042.72605196
2010-08-27,47325136.563866206,43149006.0484782,51699042.14004183
2010-09-03,46689530.41147775,41841009.59869871,51122585.2537683
2010-09-10,44753571.68735329,40522328.81782131,49442657.874725044
2010-09-17,42854710.039286464,38418173.48047875,47495795.01091829
2010-09-24,42527911.54861312,38084876.06089969,46704878.7779615
